T;B;V;O;Fires
5;5;5;5;5
-1.50;70.00;0.74;1.00;13
0.98;62.43;1.64;0.00;50
-1.08;55.78;2.74;0.00;20
1.80;49.52;2.02;0.00;20
0.26;54.90;1.74;0.00;19
5.75;59.52;2.87;11.00;10
6.80;62.21;1.51;9.00;5
11.21;58.19;1.76;2.80;24
11.25;64.32;1.54;1.30;5
11.17;77.22;1.44;13.50;0
15.73;72.39;0.87;6.00;0
18.80;65.50;0.96;0.00;0
20.01;77.56;0.96;10.00;2
21.23;70.22;1.28;0.40;24
20.50;72.82;1.52;5.00;13
19.06;74.62;1.76;11.70;1
20.58;72.02;1.25;2.00;2
22.63;66.45;1.29;0.00;5
18.88;64.77;1.73;0.30;2
-18.47;74.32;0.89;1.20;0
-16.10;73.09;0.94;2.60;0
-19.19;67.66;1.04;0.00;0
-9.86;69.48;1.98;0.20;0
-0.64;71.95;1.04;6.00;0
1.70;68.78;1.52;4.70;3
-1.58;59.02;2.25;0.00;14
3.50;62.76;1.20;0.00;28
7.78;65.61;2.39;32.00;3
7.46;52.45;3.00;0.00;5
10.29;53.25;3.22;12.30;3
12.48;50.60;2.54;0.00;5
11.96;56.17;2.31;1.00;0
12.80;80.87;0.93;8.70;0
13.31;79.02;1.45;15.00;0
15.19;77.49;1.39;37.20;0
15.76;82.10;1.06;7.20;0
17.22;79.33;1.02;22.90;0
16.39;88.27;0.73;45.30;0
15.21;91.68;0.60;69.70;0
17.18;87.12;0.63;15.30;0
20.47;81.84;1.23;19.20;0
-25.41;69.24;0.85;0.00;0
-19.58;67.89;1.25;0.00;0
-16.45;69.87;1.19;0.00;0
-14.99;72.06;1.12;2.00;0
-5.29;66.87;1.57;3.30;0
-4.28;64.29;1.90;2.50;0
-5.39;63.00;1.24;0.00;2
3.35;63.69;1.52;0.00;27
6.47;64.18;2.09;3.80;2
7.59;53.91;2.35;0.00;7
10.99;48.94;2.17;0.00;4
12.53;67.16;1.46;26.40;2
13.45;69.53;0.90;1.80;1
16.91;66.63;1.73;3.60;0
17.06;71.59;1.04;3.00;1
16.24;74.10;1.00;2.70;0
22.25;67.29;0.86;0.00;0
21.87;75.39;1.09;27.70;0
16.82;81.92;0.82;8.30;0
18.27;79.82;0.71;6.70;0
20.70;86.27;0.77;17.30;0
17.21;80.82;1.89;55.30;0
-14.69;71.84;0.98;0.00;0
-12.32;70.63;2.18;2.00;0
-8.64;70.22;1.24;0.00;0
-1.75;59.53;1.91;6.20;5
-0.70;61.29;2.44;3.00;5
-1.39;67.11;1.26;0.00;21
2.81;70.15;1.06;0.00;14
5.07;60.91;0.91;0.00;23
7.37;55.53;1.32;0.00;7
7.86;59.62;1.79;9.00;3
8.58;58.55;2.42;4.00;4
11.27;73.17;0.94;32.80;1
11.92;84.55;1.11;8.00;0
14.25;78.74;0.65;57.30;0
17.89;77.32;0.83;4.80;0
17.94;72.20;1.32;9.00;0
18.87;75.07;0.98;13.00;0
18.79;78.27;0.89;10.30;0
19.52;82.85;0.67;1.00;1
22.66;76.93;1.11;3.20;1
19.93;87.50;0.78;40.90;0
-17.62;69.60;0.74;0.70;0
-17.93;61.02;1.88;0.80;2
-11.42;65.48;1.17;0.00;4
-6.19;55.89;1.47;1.00;59
-6.62;57.76;1.87;0.40;54
-0.31;48.82;3.18;0.00;40
6.43;55.33;1.96;0.00;47
4.60;55.69;1.97;4.00;34
6.14;53.12;1.57;0.50;44
11.61;54.52;2.20;1.40;50
9.81;67.31;1.80;7.00;68
8.55;80.61;1.27;27.40;0
16.23;63.96;1.34;2.80;88
13.38;83.59;1.19;47.00;11
14.29;83.19;0.75;19.40;0
18.89;79.29;0.71;13.30;0
18.42;80.11;1.03;13.40;0
18.80;87.34;0.66;1.60;0
19.55;88.37;0.58;37.00;0
21.03;87.36;1.24;44.30;0
18.82;82.60;0.70;29.60;0
19.51;79.84;0.55;0.30;0
