# Метеостанция Мазаново, Россия, WMO_ID=31443, выборка с 01.01.2010 по 01.01.2014, все дни
# Кодировка: ANSI
# Данные предоставлены WEB-сайтом "Расписание Погоды", rp5.ru 
# Пожалуйста, при использовании данных, любезно указывайте названный сайт.
# Обозначения метеопараметров см. по адресу http://rp5.ru/archive.php?wmo_id=31443&lang=ru
#
"Местное время в Мазаново";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"01.01.2014 22:00";"-25.1";"740.9";"757.6";"1.0";"85";"Ветер, дующий с запада";"2";"";"";"Облаков нет.";" ";"";"";"";"-17.9";"";"";"";"";"";"50.0";"-26.9";"Осадков нет";"12";"";"";"";"";
"01.01.2014 19:00";"-21.5";"739.9";"756.3";"31.5";"75";"Ветер, дующий с западо-северо-запада";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"50.0";"-24.8";"";"";"";"";"";"";
"01.01.2014 16:00";"-28.3";"708.4";"755.4";"-29.8";"60";"Ветер, дующий с юга";"1";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"100%.";"2500 или более, или облаков нет.";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"10.0";"-33.6";"";"";"";"";"";"";
"01.01.2014 13:00";"-21.2";"738.2";"754.6";"0.6";"80";"Ветер, дующий с западо-северо-запада";"2";"";"";"10%  или менее, но не 0";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"50.0";"-23.7";"";"";"";"";"";"";
"01.01.2014 10:00";"-33.0";"737.6";"754.8";"0.7";"84";"Штиль, безветрие";"0";"";"";"40%.";" ";"";"";"-33.0";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.";"50.0";"-34.8";"Осадков нет";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"17.0";
"01.01.2014 07:00";"-32.3";"736.9";"754.0";"0.2";"85";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"50.0";"-34.0";"";"";"";"";"";"";
"01.01.2014 04:00";"-32.9";"736.7";"753.7";"-0.1";"85";"Ветер, дующий с северо-северо-запада";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"50.0";"-34.5";"";"";"";"";"";"";
"01.01.2014 01:00";"-31.0";"736.8";"753.7";"0.2";"84";"Ветер, дующий с западо-юго-запада";"1";"";"";"Облаков нет.";" ";"";"";"";"";"";"";"";"";"";"50.0";"-32.8";"";"";"";"";"";"";
"31.12.2013 22:00";"-30.2";"736.6";"753.5";"-0.1";"85";"Штиль, безветрие";"0";"";"";"Облаков нет.";" ";"";"";"";"-19.5";"";"";"";"";"";"50.0";"-31.9";"0.2";"12";"";"";"";"";
"31.12.2013 19:00";"-24.2";"736.7";"753.1";"0.6";"90";"Ветер, дующий с северо-северо-запада";"1";"";"";"70 – 80%.";" ";"";"";"";"";"Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.";"Облаков нет.";"2500 или более, или облаков нет.";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.";"50.0";"-25.4";"";"";"";"";"";"";
