Абан => 29485 | (56.683333333333, 96.066666666667)
Борзово => 29485 | (56.683333333333, 96.066666666667)
Долгий Мост => 29485 | (56.683333333333, 96.066666666667)
Турово => 29485 | (56.683333333333, 96.066666666667)
Хандальск => 29485 | (56.683333333333, 96.066666666667)
Ачинск => 29467 | (56.283333333333, 90.5)
Мазульский => 29467 | (56.283333333333, 90.5)
Ключи => 29594 | (55.95, 98)
Малый Улуй => 29561 | (56, 90.4)
Новая Ильинка => 29561 | (56, 90.4)
Саросека => 29467 | (56.283333333333, 90.5)
Байкит => 23891 | (61.683333333333, 96.366666666667)
Бурный => 23788 | (62.316666666667, 92.116666666667)
Куюмба => 23992 | (60.716666666667, 97.516666666667)
Суломай => 23884 | (61.6, 90.016666666667)
Усть-Камо => 23992 | (60.716666666667, 97.516666666667)
Балахта => 29662 | (55.383333333333, 91.633333333333)
Кожаны => 29664 | (55.1, 90.833333333333)
Петропавловка => 29676 | (55.25, 94.883333333333)
Приморск => 29662 | (55.383333333333, 91.633333333333)
Черемушки => 29662 | (55.383333333333, 91.633333333333)
Березовка => 29587 | (55.65, 95.466666666667)
Березовский => 29578 | (55.716666666667, 93.733333333333)
Есаулово => 29479 | (56.25, 93.5333)
Зыково => 29579 | (55.9668, 92.7316)
Маганск => 29579 | (55.9668, 92.7316)
Кирчиж => 29367 | (57.133333333333, 90.7)
Проточный => 29367 | (57.133333333333, 90.7)
Рассвет => 29367 | (57.133333333333, 90.7)
Суриково => 29367 | (57.133333333333, 90.7)
Боготол => 29553 | (56.2333, 89.5833)
Александровка => 29558 | (55.533333333333, 89.2)
Вагино (с.) => 29553 | (56.2333, 89.5833)
Каштан => 29553 | (56.2333, 89.5833)
Коробейниково => 29553 | (56.2333, 89.5833)
Богучаны => 29282 | (58.383333333333, 97.45)
Карабула => 29282 | (58.383333333333, 97.45)
Октябрьский => 29581 | (56.2, 95.733333333333)
Таежный => 29393 | (57.666666666667, 99.566666666667)
Чунояр => 29282 | (58.383333333333, 97.45)
Большая Мурта => 29471 | (56.9, 93.166666666667)
Айтат => 29471 | (56.9, 93.166666666667)
Козьмо-Демьяновка => 29471 | (56.9, 93.166666666667)
Комарово => 29580 | (56.166666666667, 95.266666666667)
Минск => 29471 | (56.9, 93.166666666667)
Большой Улуй => 29464 | (56.65, 90.583333333333)
Кытат => 29464 | (56.65, 90.583333333333)
Шарыповка => 29464 | (56.65, 90.583333333333)
Бородино => 29580 | (56.166666666667, 95.266666666667)
Дзержинское => 29481 | (56.833333333333, 95.233333333333)
Александро-Ерша => 29481 | (56.833333333333, 95.233333333333)
Верхний Танай => 29481 | (56.833333333333, 95.233333333333)
Денисово => 29481 | (56.833333333333, 95.233333333333)
Колон => 29481 | (56.833333333333, 95.233333333333)
Дивногорск => 29566 | (55.95, 92.366666666667)
Бахта => 23776 | (62.333333333333, 89.25)
Овсянка => 29566 | (55.95, 92.366666666667)
Усть-Мана => 29566 | (55.95, 92.366666666667)
Хмельники => 29566 | (55.95, 92.366666666667)
Диксон => 20674 | (73.5, 80.4)
Диксон мыс => 20674 | (73.5, 80.4)
Мыс Стерлегова => 20471 | (75.916666666667, 83)
о. Визе => 20069 | (79.5, 76.983333333333)
о. Голомянный => 20087 | (79.55, 90.616666666667)
Дудинка => 23174 | (68.683333333333, 86.283333333333)
Мессояха => 20978 | (70.066666666667, 83.2)
Потапово => 29263 | (58.45, 92.15)
Усть-Авам => 20982 | (70.983333333333, 94.55)
Хантайское Озеро => 23179 | (68.2, 90.033333333333)
Емельяново => 29474 | (56.1698, 92.6719)
Дрокино => 29571 | (56.0645, 92.7057)
Кача => 29563 | (56.116666666667, 92.2)
Опытное Поле (Красноярск) => 29570 | (56.033333333333, 92.716666666667)
Солонцы => 29570 | (56.033333333333, 92.716666666667)
Енисейск => 29263 | (58.45, 92.15)
Александровский Шлюз => 29059 | (59.416666666667, 89.3)
Назимово => 29068 | (59.5, 91.016666666667)
Новый Городок => 23987 | (60.25, 90.233333333333)
Ярцево => 23987 | (60.25, 90.233333333333)
Ермаковское => 29869 | (53.266666666667, 92.4)
Верхнеусинское => 36091 | (52.266666666667, 93)
Жеблахты => 29869 | (53.266666666667, 92.4)
Нижнеусинское => 36091 | (52.266666666667, 93)
Оленья Речка => 29974 | (52.8, 93.233333333333)
Железногорск => 29479 | (56.25, 93.5333)
Новый Путь => 29581 | (56.2, 95.733333333333)
Подгорный => 29870 | (53.883333333333, 92.666666666667)
Тартат => 29479 | (56.25, 93.5333)
Шивера => 29479 | (56.25, 93.5333)
Зеленогорск => 29576 | (55.816666666667, 94.333333333333)
Идринское => 29766 | (54.366666666667, 92.133333333333)
Большой Хабык => 29766 | (54.366666666667, 92.133333333333)
Екатериновка => 29766 | (54.366666666667, 92.133333333333)
Еленинск => 29766 | (54.366666666667, 92.133333333333)
Новоберезовка => 29766 | (54.366666666667, 92.133333333333)
Иланский => 29581 | (56.2, 95.733333333333)
Абакумовка => 29587 | (55.65, 95.466666666667)
Ловать => 29581 | (56.2, 95.733333333333)
Новогородка => 29485 | (56.683333333333, 96.066666666667)
Новониколаевка => 29576 | (55.816666666667, 94.333333333333)
Ессей => 24219 | (67.133333333333, 108.53333333333)
Кислокан => 24606 | (63.6, 103.98333333333)
Тура => 24507 | (64.2694, 100.217)
Тутончаны => 23589 | (64.216666666667, 93.8)
Ирбейское => 29587 | (55.65, 95.466666666667)
Агул => 29587 | (55.65, 95.466666666667)
Изумрудный => 29587 | (55.65, 95.466666666667)
Степановка => 29587 | (55.65, 95.466666666667)
Успенка => 29456 | (56.533333333333, 89.316666666667)
Казачинское => 29374 | (57.7, 93.283333333333)
Матвеевка => 29374 | (57.7, 93.283333333333)
Мокрушинское => 29374 | (57.7, 93.283333333333)
Отношка => 29363 | (57.633333333333, 92.266666666667)
Подпорожье => 29374 | (57.7, 93.283333333333)
Канск => 29581 | (56.2, 95.733333333333)
Крутая Горка => 29580 | (56.166666666667, 95.266666666667)
Рудяное => 29581 | (56.2, 95.733333333333)
Солянка => 29580 | (56.166666666667, 95.266666666667)
Сотниково => 29581 | (56.2, 95.733333333333)
Каратузское => 29874 | (53.6, 92.85)
Верхний Кужебар => 29874 | (53.6, 92.85)
Нижние Куряты => 29874 | (53.6, 92.85)
Нижний Кужебар => 29874 | (53.6, 92.85)
Старая Копь => 29874 | (53.6, 92.85)
Кедровый => 29594 | (55.95, 98)
Ирба => 29393 | (57.666666666667, 99.566666666667)
Кежма => 30014 | (59.633333333333, 103.31666666667)
Кодинск => 29282 | (58.383333333333, 97.45)
Тагара => 29282 | (58.383333333333, 97.45)
Козулька => 29562 | (56.1, 91.666666666667)
Балахтон => 29562 | (56.1, 91.666666666667)
